model_id,family,severity,subset_label,frame_indices,retained_frame_count,mean_dice,mean_cldice,min_dice,min_cldice,dice_delta_vs_family_severity0,cldice_delta_vs_family_severity0
sam_vit_b,frame_thinning,0,all_frames,"[0, 1, 2, 3, 4, 5]",6,0.21131857528530187,0.2344899136404658,0.20569080958470795,0.20649020662110537,0.0,0.0
sam_vit_b,frame_thinning,1,stride_2_frames,"[0, 2, 4]",3,0.21066191460164238,0.2337869249966218,0.20569080958470795,0.20664480070702798,-0.0006566606836594935,-0.0007029886438440214
sam_vit_b,frame_thinning,2,stride_3_frames,"[0, 3]",2,0.21072529170650897,0.25560629273735125,0.20884762975999335,0.25079614215148904,-0.0005932835787929025,0.021116379096885435
sam_vit_b,contrast_phase,0,all_frames,"[0, 1, 2, 3, 4, 5]",6,0.21131857528530187,0.2344899136404658,0.20569080958470795,0.20649020662110537,0.0,0.0
sam_vit_b,contrast_phase,1,early_late_edge_frames,"[0, 1, 4, 5]",4,0.2124044221185197,0.23046095218292045,0.20640058390246446,0.20649020662110537,0.0010858468332178295,-0.00402896145754536
sam_vit_b,contrast_phase,2,lowest_intensity_frame,[5],1,0.21692217035139516,0.20649020662110537,0.21692217035139516,0.20649020662110537,0.0056035950660932865,-0.027999707019360442
medsam_vit_b,frame_thinning,0,all_frames,"[0, 1, 2, 3, 4, 5]",6,0.21390124855402506,0.13894415326050708,0.21088959233933494,0.10874538385588296,0.0,0.0
medsam_vit_b,frame_thinning,1,stride_2_frames,"[0, 2, 4]",3,0.2152945565851306,0.15182928330628168,0.21240791226564115,0.1350847487133084,0.0013933080311055446,0.012885130045774601
medsam_vit_b,frame_thinning,2,stride_3_frames,"[0, 3]",2,0.21538326749637465,0.15371855325246186,0.21088959233933494,0.12374200583829151,0.0014820189423495889,0.01477439999195479
medsam_vit_b,contrast_phase,0,all_frames,"[0, 1, 2, 3, 4, 5]",6,0.21390124855402506,0.13894415326050708,0.21088959233933494,0.10874538385588296,0.0,0.0
medsam_vit_b,contrast_phase,1,early_late_edge_frames,"[0, 1, 4, 5]",4,0.21502749667979365,0.14330372829646165,0.2129833721937448,0.10874538385588296,0.0011262481257685864,0.004359575035954577
medsam_vit_b,contrast_phase,2,lowest_intensity_frame,[5],1,0.21365085703567907,0.145689679950023,0.21365085703567907,0.145689679950023,-0.0002503915183459937,0.006745526689515918
