ranking_metric,direction,rank,model_id,value
synthetic_mean_stressor_dice,higher_is_better,1,sam_vit_b,0.892633475863582
synthetic_mean_stressor_dice,higher_is_better,2,medsam_vit_b,0.2683099580428599
synthetic_mean_stressor_dice_delta_vs_clean,higher_is_better,1,medsam_vit_b,0.01291290621214192
synthetic_mean_stressor_dice_delta_vs_clean,higher_is_better,2,sam_vit_b,-0.08841473698906317
dias_all_frame_mean_dice,higher_is_better,1,medsam_vit_b,0.21390124855402506
dias_all_frame_mean_dice,higher_is_better,2,sam_vit_b,0.21131857528530187
dias_frame_thinning_severity2_dice_delta_vs_severity0,higher_is_better,1,medsam_vit_b,0.0014820189423495889
dias_frame_thinning_severity2_dice_delta_vs_severity0,higher_is_better,2,sam_vit_b,-0.0005932835787929025
dias_contrast_phase_severity2_dice_delta_vs_severity0,higher_is_better,1,sam_vit_b,0.0056035950660932865
dias_contrast_phase_severity2_dice_delta_vs_severity0,higher_is_better,2,medsam_vit_b,-0.0002503915183459937
