ranking_metric,direction,rank,model_id,value
synthetic_mean_stressor_dice,higher_is_better,1,sam_vit_b,0.9810482128526452
synthetic_mean_stressor_dice,higher_is_better,2,sam_vit_l,0.9751922599851154
synthetic_mean_stressor_dice,higher_is_better,3,medsam_vit_b,0.25539705183071804
synthetic_mean_stressor_dice_delta_vs_clean,higher_is_better,1,medsam_vit_b,0.0
synthetic_mean_stressor_dice_delta_vs_clean,higher_is_better,2,sam_vit_b,0.0
synthetic_mean_stressor_dice_delta_vs_clean,higher_is_better,3,sam_vit_l,0.0
dias_all_frame_mean_dice,higher_is_better,1,medsam_vit_b,0.21987694265341434
dias_all_frame_mean_dice,higher_is_better,2,sam_vit_b,0.20884762975999335
dias_all_frame_mean_dice,higher_is_better,3,sam_vit_l,0.17988978102299719
dias_frame_thinning_severity2_dice_delta_vs_severity0,higher_is_better,1,medsam_vit_b,0.0
dias_frame_thinning_severity2_dice_delta_vs_severity0,higher_is_better,2,sam_vit_b,0.0
dias_frame_thinning_severity2_dice_delta_vs_severity0,higher_is_better,3,sam_vit_l,0.0
dias_contrast_phase_severity2_dice_delta_vs_severity0,higher_is_better,1,medsam_vit_b,0.0
dias_contrast_phase_severity2_dice_delta_vs_severity0,higher_is_better,2,sam_vit_b,0.0
dias_contrast_phase_severity2_dice_delta_vs_severity0,higher_is_better,3,sam_vit_l,0.0
